,,,,,,,,,,,,,,,,,,,,
,SQUID,F39-A,L40-B,,,,,,,,,,,,,,,,,
,1/Mf,32.9,33.17,,,,,,,,,,,,,,,,,
,1/Min,24.6,26.2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,TES,2407-MI-1-F,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Rf,1.00E+05,Ω,FLL フィードバック抵抗,,,,,,,,,,,,,,,,
,Rs,2.00E-02,Ω,シャント抵抗,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1/Mf,33.17,uA/Phi,1磁束量子あたりの電流値（変換係数）,,,,,,,,,,,,,,,,
,1/Min,26.2,uA/Phi,1磁束量子あたりの電流値（変換係数）,,,,,,,,,,,,,,,,
,Mf,0.03014772385,Phi0 / uA,,,,,,,,,,,,,,,,,
,Min,0.03816793893,Phi0 / uA,,,,,,,,,,,,,,,,,
,Mf/Min,0.7898703648,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,測定値,,,,,,,,,I-Vプロット用,,,R-Vプロット用,,,,R-I プロット用,,P-V プロット用,
,Ib [uA],Ib [A],SQUID out [V],Ites [A],Vtes [V],Rtes [Ω],Ptes [W],,,Vtes [V],Ites[A],,Vtes[V],Rtes[Ω],R ratio,,Ites[A],Rtes[Ω],Vtes [V],Ptes [W]
,1.00E+03,1.00E-03,2.61E-01,2.06E-06,2.00E-05,9.69E+00,4.11E-11,,,2.00E-05,2.06E-06,,2.00E-05,9.69E+00,1.000,,2.06E-06,9.69E+00,2.00E-05,4.11E-11
,9.95E+02,9.95E-04,2.59E-01,2.05E-06,1.99E-05,9.70E+00,4.06E-11,,,1.99E-05,2.05E-06,,1.99E-05,9.70E+00,1.001,,2.05E-06,9.70E+00,1.99E-05,4.06E-11
,9.90E+02,9.90E-04,2.58E-01,2.04E-06,1.98E-05,9.69E+00,4.03E-11,,,1.98E-05,2.04E-06,,1.98E-05,9.69E+00,1.000,,2.04E-06,9.69E+00,1.98E-05,4.03E-11
,9.85E+02,9.85E-04,2.57E-01,2.03E-06,1.97E-05,9.69E+00,3.99E-11,,,1.97E-05,2.03E-06,,1.97E-05,9.69E+00,0.999,,2.03E-06,9.69E+00,1.97E-05,3.99E-11
,9.80E+02,9.80E-04,2.56E-01,2.02E-06,1.96E-05,9.68E+00,3.95E-11,,,1.96E-05,2.02E-06,,1.96E-05,9.68E+00,0.999,,2.02E-06,9.68E+00,1.96E-05,3.95E-11
,9.75E+02,9.75E-04,2.54E-01,2.01E-06,1.95E-05,9.68E+00,3.91E-11,,,1.95E-05,2.01E-06,,1.95E-05,9.68E+00,0.999,,2.01E-06,9.68E+00,1.95E-05,3.91E-11
,9.70E+02,9.70E-04,2.53E-01,2.00E-06,1.94E-05,9.68E+00,3.87E-11,,,1.94E-05,2.00E-06,,1.94E-05,9.68E+00,0.998,,2.00E-06,9.68E+00,1.94E-05,3.87E-11
,9.65E+02,9.65E-04,2.52E-01,1.99E-06,1.93E-05,9.68E+00,3.83E-11,,,1.93E-05,1.99E-06,,1.93E-05,9.68E+00,0.999,,1.99E-06,9.68E+00,1.93E-05,3.83E-11
,9.60E+02,9.60E-04,2.51E-01,1.98E-06,1.92E-05,9.67E+00,3.80E-11,,,1.92E-05,1.98E-06,,1.92E-05,9.67E+00,0.997,,1.98E-06,9.67E+00,1.92E-05,3.80E-11
,9.55E+02,9.55E-04,2.49E-01,1.97E-06,1.91E-05,9.67E+00,3.76E-11,,,1.91E-05,1.97E-06,,1.91E-05,9.67E+00,0.998,,1.97E-06,9.67E+00,1.91E-05,3.76E-11
,9.50E+02,9.50E-04,2.48E-01,1.96E-06,1.90E-05,9.67E+00,3.72E-11,,,1.90E-05,1.96E-06,,1.90E-05,9.67E+00,0.998,,1.96E-06,9.67E+00,1.90E-05,3.72E-11
,9.45E+02,9.45E-04,2.47E-01,1.95E-06,1.89E-05,9.66E+00,3.68E-11,,,1.89E-05,1.95E-06,,1.89E-05,9.66E+00,0.996,,1.95E-06,9.66E+00,1.89E-05,3.68E-11
,9.40E+02,9.40E-04,2.46E-01,1.94E-06,1.88E-05,9.66E+00,3.64E-11,,,1.88E-05,1.94E-06,,1.88E-05,9.66E+00,0.996,,1.94E-06,9.66E+00,1.88E-05,3.64E-11
,9.35E+02,9.35E-04,2.45E-01,1.93E-06,1.87E-05,9.65E+00,3.61E-11,,,1.87E-05,1.93E-06,,1.87E-05,9.65E+00,0.995,,1.93E-06,9.65E+00,1.87E-05,3.61E-11
,9.30E+02,9.30E-04,2.43E-01,1.92E-06,1.86E-05,9.65E+00,3.57E-11,,,1.86E-05,1.92E-06,,1.86E-05,9.65E+00,0.996,,1.92E-06,9.65E+00,1.86E-05,3.57E-11
,9.25E+02,9.25E-04,2.42E-01,1.91E-06,1.85E-05,9.65E+00,3.53E-11,,,1.85E-05,1.91E-06,,1.85E-05,9.65E+00,0.995,,1.91E-06,9.65E+00,1.85E-05,3.53E-11
,9.20E+02,9.20E-04,2.41E-01,1.90E-06,1.84E-05,9.65E+00,3.50E-11,,,1.84E-05,1.90E-06,,1.84E-05,9.65E+00,0.995,,1.90E-06,9.65E+00,1.84E-05,3.50E-11
,9.15E+02,9.15E-04,2.40E-01,1.90E-06,1.83E-05,9.62E+00,3.47E-11,,,1.83E-05,1.90E-06,,1.83E-05,9.62E+00,0.993,,1.90E-06,9.62E+00,1.83E-05,3.47E-11
,9.10E+02,9.10E-04,2.39E-01,1.89E-06,1.82E-05,9.63E+00,3.43E-11,,,1.82E-05,1.89E-06,,1.82E-05,9.63E+00,0.993,,1.89E-06,9.63E+00,1.82E-05,3.43E-11
,9.05E+02,9.05E-04,2.37E-01,1.87E-06,1.81E-05,9.64E+00,3.39E-11,,,1.81E-05,1.87E-06,,1.81E-05,9.64E+00,0.994,,1.87E-06,9.64E+00,1.81E-05,3.39E-11
,9.00E+02,9.00E-04,2.36E-01,1.87E-06,1.80E-05,9.62E+00,3.35E-11,,,1.80E-05,1.87E-06,,1.80E-05,9.62E+00,0.993,,1.87E-06,9.62E+00,1.80E-05,3.35E-11
,8.95E+02,8.95E-04,2.35E-01,1.86E-06,1.79E-05,9.61E+00,3.32E-11,,,1.79E-05,1.86E-06,,1.79E-05,9.61E+00,0.992,,1.86E-06,9.61E+00,1.79E-05,3.32E-11
,8.90E+02,8.90E-04,2.34E-01,1.85E-06,1.78E-05,9.62E+00,3.28E-11,,,1.78E-05,1.85E-06,,1.78E-05,9.62E+00,0.993,,1.85E-06,9.62E+00,1.78E-05,3.28E-11
,8.85E+02,8.85E-04,2.33E-01,1.84E-06,1.77E-05,9.61E+00,3.25E-11,,,1.77E-05,1.84E-06,,1.77E-05,9.61E+00,0.992,,1.84E-06,9.61E+00,1.77E-05,3.25E-11
,8.80E+02,8.80E-04,2.31E-01,1.83E-06,1.76E-05,9.61E+00,3.21E-11,,,1.76E-05,1.83E-06,,1.76E-05,9.61E+00,0.991,,1.83E-06,9.61E+00,1.76E-05,3.21E-11
,8.75E+02,8.75E-04,2.30E-01,1.82E-06,1.75E-05,9.60E+00,3.18E-11,,,1.75E-05,1.82E-06,,1.75E-05,9.60E+00,0.991,,1.82E-06,9.60E+00,1.75E-05,3.18E-11
,8.70E+02,8.70E-04,2.29E-01,1.81E-06,1.74E-05,9.59E+00,3.14E-11,,,1.74E-05,1.81E-06,,1.74E-05,9.59E+00,0.990,,1.81E-06,9.59E+00,1.74E-05,3.14E-11
,8.65E+02,8.65E-04,2.28E-01,1.80E-06,1.73E-05,9.59E+00,3.11E-11,,,1.73E-05,1.80E-06,,1.73E-05,9.59E+00,0.989,,1.80E-06,9.59E+00,1.73E-05,3.11E-11
,8.60E+02,8.60E-04,2.27E-01,1.79E-06,1.72E-05,9.59E+00,3.07E-11,,,1.72E-05,1.79E-06,,1.72E-05,9.59E+00,0.990,,1.79E-06,9.59E+00,1.72E-05,3.07E-11
,8.55E+02,8.55E-04,2.25E-01,1.78E-06,1.71E-05,9.59E+00,3.04E-11,,,1.71E-05,1.78E-06,,1.71E-05,9.59E+00,0.989,,1.78E-06,9.59E+00,1.71E-05,3.04E-11
,8.50E+02,8.50E-04,2.24E-01,1.77E-06,1.70E-05,9.57E+00,3.01E-11,,,1.70E-05,1.77E-06,,1.70E-05,9.57E+00,0.988,,1.77E-06,9.57E+00,1.70E-05,3.01E-11
,8.45E+02,8.45E-04,2.23E-01,1.76E-06,1.69E-05,9.57E+00,2.97E-11,,,1.69E-05,1.76E-06,,1.69E-05,9.57E+00,0.988,,1.76E-06,9.57E+00,1.69E-05,2.97E-11
,8.40E+02,8.40E-04,2.22E-01,1.75E-06,1.68E-05,9.57E+00,2.94E-11,,,1.68E-05,1.75E-06,,1.68E-05,9.57E+00,0.987,,1.75E-06,9.57E+00,1.68E-05,2.94E-11
,8.35E+02,8.35E-04,2.21E-01,1.74E-06,1.67E-05,9.56E+00,2.90E-11,,,1.67E-05,1.74E-06,,1.67E-05,9.56E+00,0.986,,1.74E-06,9.56E+00,1.67E-05,2.90E-11
,8.30E+02,8.30E-04,2.19E-01,1.73E-06,1.66E-05,9.56E+00,2.87E-11,,,1.66E-05,1.73E-06,,1.66E-05,9.56E+00,0.986,,1.73E-06,9.56E+00,1.66E-05,2.87E-11
,8.25E+02,8.25E-04,2.18E-01,1.72E-06,1.65E-05,9.55E+00,2.84E-11,,,1.65E-05,1.72E-06,,1.65E-05,9.55E+00,0.986,,1.72E-06,9.55E+00,1.65E-05,2.84E-11
,8.20E+02,8.20E-04,2.17E-01,1.71E-06,1.64E-05,9.54E+00,2.81E-11,,,1.64E-05,1.71E-06,,1.64E-05,9.54E+00,0.984,,1.71E-06,9.54E+00,1.64E-05,2.81E-11
,8.15E+02,8.15E-04,2.16E-01,1.70E-06,1.63E-05,9.54E+00,2.77E-11,,,1.63E-05,1.70E-06,,1.63E-05,9.54E+00,0.984,,1.70E-06,9.54E+00,1.63E-05,2.77E-11
,8.10E+02,8.10E-04,2.15E-01,1.70E-06,1.62E-05,9.53E+00,2.74E-11,,,1.62E-05,1.70E-06,,1.62E-05,9.53E+00,0.983,,1.70E-06,9.53E+00,1.62E-05,2.74E-11
,8.05E+02,8.05E-04,2.13E-01,1.69E-06,1.61E-05,9.53E+00,2.71E-11,,,1.61E-05,1.69E-06,,1.61E-05,9.53E+00,0.983,,1.69E-06,9.53E+00,1.61E-05,2.71E-11
